,R2,RMSE
Linear Regression,0.5757877060324508,0.7455813830127764
Ridge Regression,0.5758157428913686,0.7455567442814778
Lasso Regression,0.5816154300698727,0.7404423656125414
Random Forest,0.8047061244071481,0.5058802703924463
